url,team_name
https://www.vlr.gg/team/2499/movistar-riders,movistar riders
https://www.vlr.gg/team/11072/spray-disinfettante,spray disinfettante
https://www.vlr.gg/team/985/kum-gaming,kum gaming
https://www.vlr.gg/team/10624/normipaiva,normipaiva
https://www.vlr.gg/team/9506/veni-vidi-vici,veni vidi vici
https://www.vlr.gg/team/10623/apyrgokill,apyrgokill
https://www.vlr.gg/team/10270/optimum-esports,optimum esports
https://www.vlr.gg/team/11870/kahood,kahood
https://www.vlr.gg/team/10139/xerecrazymix,xerecrazymix
https://www.vlr.gg/team/10106/ov2,ov2
https://www.vlr.gg/team/10709/bjerkely-fhs,bjerkely fhs
https://www.vlr.gg/team/11210/bionic-hands,bionic hands
https://www.vlr.gg/team/11970/undefined,undefined
https://www.vlr.gg/team/10173/bots,bots
https://www.vlr.gg/team/10620/jamat,jamat
https://www.vlr.gg/team/9304/slakt,slakt
https://www.vlr.gg/team/9805/guasones,guasones
https://www.vlr.gg/team/9047/vctry-youth,vctry youth
https://www.vlr.gg/team/11253/valozone,valozone
https://www.vlr.gg/team/9743/baquette-boys,baquette boys
https://www.vlr.gg/team/1316/qlash,qlash
https://www.vlr.gg/team/8996/esc-gaming,esc gaming
https://www.vlr.gg/team/9295/ipon-esport,ipon esport
https://www.vlr.gg/team/11999/capybara-huggers,capybara huggers
https://www.vlr.gg/team/11267/ctrl-esports,ctrl esports
https://www.vlr.gg/team/8319/digital-athletics-blue,digital athletics blue
https://www.vlr.gg/team/9769/enro-griffins,enro griffins
https://www.vlr.gg/team/9966/vamonos,vamonos
https://www.vlr.gg/team/11258/grindmore-esports,grindmore esports
https://www.vlr.gg/team/6132/stanbul-wildcats,i̇stanbul wildcats
https://www.vlr.gg/team/11165/s-esperamos-90dias,só esperamos 90dias
https://www.vlr.gg/team/10107/bad-conditions,bad conditions
https://www.vlr.gg/team/9910/packmiko-e-sports,packmiko e-sports
https://www.vlr.gg/team/4141/wlgaming-esports,wlgaming esports
https://www.vlr.gg/team/11869/creeper-consumer,creeper consumer
https://www.vlr.gg/team/10150/swenmark,swenmark
https://www.vlr.gg/team/6645/jokers,jokers
https://www.vlr.gg/team/9070/ghr-e-sports,ghr e-sports
https://www.vlr.gg/team/11686/travelers-around-the-world,travelers around the world
https://www.vlr.gg/team/9431/redpack-esports,redpack esports
https://www.vlr.gg/team/10105/j-m-t,jämät
https://www.vlr.gg/team/8638/heracles-gaming,heracles gaming
https://www.vlr.gg/team/10712/justice-esports,justice esports
https://www.vlr.gg/team/1619/catalyst-esports,catalyst esports
https://www.vlr.gg/team/6316/anorthosis-famagusta-esports,anorthosis famagusta esports
https://www.vlr.gg/team/8921/wesports,wesports
https://www.vlr.gg/team/9292/division-6ix,division 6ix
https://www.vlr.gg/team/9800/unbreachbar,unbreachbar
https://www.vlr.gg/team/3821/toools-esports,toools esports
https://www.vlr.gg/team/7126/matching-numbers,matching numbers
https://www.vlr.gg/team/10277/boost-esport,boost esport
https://www.vlr.gg/team/4137/prinzen-von-stuttgart,prinzen von stuttgart
https://www.vlr.gg/team/10618/brothas,brothas
https://www.vlr.gg/team/9771/cryptova,cryptova
https://www.vlr.gg/team/10023/badconditions,badconditions
https://www.vlr.gg/team/9443/nativz,nativz
https://www.vlr.gg/team/11868/connecting-esports,connecting esports
https://www.vlr.gg/team/2221/why-no-eco,why no eco
https://www.vlr.gg/team/4696/surreal-esports,surreal esports
https://www.vlr.gg/team/7480/morekats-gaming,morekats gaming
https://www.vlr.gg/team/9291/boss-gaming,boss gaming
https://www.vlr.gg/team/9066/extreme-gaming,extreme gaming
https://www.vlr.gg/team/8380/divizon,divizon
https://www.vlr.gg/team/5126/amazing,amazing
https://www.vlr.gg/team/11168/rpg,rpg
https://www.vlr.gg/team/9485/legates,legates
https://www.vlr.gg/team/11024/currygold,currygold
https://www.vlr.gg/team/1172/bxl-zoo,bxl zoo 
https://www.vlr.gg/team/9241/syds-minions,syd's minions
https://www.vlr.gg/team/9293/heet-infernos,heet infernos
https://www.vlr.gg/team/10056/raptor,raptor
https://www.vlr.gg/team/9771/cryptova,cryptova
https://www.vlr.gg/team/1867/team-doggo,team doggo
https://www.vlr.gg/team/8372/bloodstone,bloodstone
https://www.vlr.gg/team/11162/refre5h,refre5h
https://www.vlr.gg/team/9799/shape-sports,shape sports
https://www.vlr.gg/team/9056/n-ffen,nöffen
https://www.vlr.gg/team/8826/alternate-attax,alternate attax
https://www.vlr.gg/team/5310/fenerbah-e-esports,fenerbahçe esports
https://www.vlr.gg/team/5218/balkan-stars,balkan stars
https://www.vlr.gg/team/9243/playwell,playwell
https://www.vlr.gg/team/9904/scythe-of-seraph,scythe of seraph
https://www.vlr.gg/team/10318/cyber-wolves-light,cyber wolves light
https://www.vlr.gg/team/9619/trinix-gorilla,trinix gorilla
https://www.vlr.gg/team/10091/ace-esports,ace esports
https://www.vlr.gg/team/9302/kamk-gg,kamk.gg
https://www.vlr.gg/team/10416/team-aku-aku,team aku aku
